tweet
i love the thunder purple colour it looks awsm
hey! thanks for reaching out to us .we are sorry that this has happened.please send us a dm and we...
coincidentally we use #oneplus cellphones retrohorror + oneplus 5: lake blood  +#caitlinrlacey
"we both did pre-order these phones, we also can provide the receipt to prove this..."
i need this phone..
have you checked out this  oneplus6t thunder purple giveaway yet? #giveaway #oneplus6t #thunderpurple
i just published unit9 cracks the code with oneplus!
"it moves daily, from my room to my work"
rt :  thank you for reaching out to us. we request you to get in touch with our corresponding indian suppor...
thank you for reaching out to us. we request you to get in touch with our corresponding indian sup...
the oneplus 6t in thunder purple is here along with a hands on video/giveaway! check out the new color from  and ente...
will this be a perfect fit or will cover the bottom gesture screen like the other tempered glass available in market?
"the design of our fast charge cable has been tested over 20,000 times to ensure durability and fast charging speeds. now that'..."
"(cyber monday 2018 phone deals: free oneplus 6t today, lg v40 bogo, free lg tv) stockawiki | fast breaking financia..."
still wondering why didn't  launch the purple color first instead of the mirror black. ++this one is beautiful...
bro today tech news...
tashifysoneplus 6 is here final specs
sony expria xz3 vs oneplus 6t speed test | official review | first look | 2018 |:  via
i added a video to a  playlist  sony expria xz3 vs oneplus 6t speed test | official review | first look
new video - ++the top 10 #oxygenos tips for  users.+more tips at +al...
"+oneplus 6t (mirror black, 6gb ram, 128gb storage)"
"the design of our fast charge cable has been tested over 20,000 times to ensure durability and fast charging speeds. now that'..."
extremely poor response. not answering to the specific questions . can you pls answer specific que...
"it won't be, switch to 6t lol"
we are glad that you are enjoying the wireless bullets. we are glad to have given you the product you...
"exchange apple smartphone with #oneplus6t, and get discounts upto rs 3000! #amazon and #oneplus are celebrating their 4th anniv..."
"++hi,+the battery life of my oneplus 5 has gone for a toss after the lastest..."
i finally got the oneplus 6t and i'm also happy about it
oneplus 6 is here final specs
"hello,,, did anyone tell oneplus it's cyber monday??? be nice if we could get some discounts on the bullets wireless"
official karbon protective case for oneplus 6t unboxing and review:  via
"setup on oneplus 6 for now, also a new wallpaper ! follow, rt, download below[?]+ ... ... +#wallpaper..."
"up to 25% off smartphones from oneplus, huawei, honor and more  tags: #amazon #deal"
other battery saver modes on android devices: saves battery+oneplus' battery saver mode: makes phone 8x slower turn...
unboxing  #oneplus #thunderpurple +++6 x #oneplus6t #giveaway ...
i'm loving my oneplus smartphone. get rs1000 towards accessories when you buy a smartphone through
wait until #op7 releases
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
thank you for reaching out to us. we request you to get in touch with our corresponding indian supp...
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
i liked a  video  oneplus 6t real review - the truth 3 weeks later!
not available here.
unboxing  #oneplus #thunderpurple +++6 x #oneplus6t #giveaway ...
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
hey ! we appreciate your interest towards oneplus ! we would request you to visit this link...
rt :  oh wow i love this safety
done sir!!!++ + + ++#trakintech #tech #keeptrakin #oneplus6t
anna waiting for tech news
"[upcoming] oneplus 6t 4th anniversary offer ++*rs. 1,500 cashback on citibank credit &amp; debit cards.++* 6 months no-..."
thunder purple colour. ye colour apne aap me bilkul nyaa hai.
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
when are giveaway results going to come out?
"display quality compare to top premium brands like sumsung , lg..."
amazing #oneplus6t
"rt : when you're on the move, the bullets wireless stay in place comfortably around your neck. enjoy 5 hours of uninterrupted m..."
"when you're on the move, the bullets wireless stay in place comfortably around your neck. enjoy 5 hours of uninterr..."
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
hey ! we appreciate your interest towards oneplus . please check this link for purchasing in saudi ar...
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
#thunder purple is new option to have
"setup on oneplus 6 for now, also a new wallpaper ! follow, rt, download below[?]+ ... ......"
new apk: oneplus weather 2.2.0.181126212910.4c26ade by oneplus ltd.
i'm not even a oneplus fan  .. i mean .. never mind +#oneplus #shotononeplus #matteblack  #red
"#oneplus marks 4th anniversary with cash back, additional exchange discount on #oneplus6t+"
super mobile
oneplus 7 - concept  via
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
++plz participate to get #oneplus6t free of cost.
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
we would like to inform that you would have got the type-c bullets only if you have pre-ordered the...
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
whenever you want fastest phone go with #bionicchip or latest #snapdragon  processor. rest is your choice....
great i am thinking for #oneplus6t
have you checked out this  oneplus6t thunder purple giveaway yet? #giveaway #oneplus6t #thunderpurple
thank you for reaching out to us. please initiate a dm so we can assist you better. thank you+#neversettle
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
"rt : we're delighted to announce four years of a mutually fruitful &amp; long-standing partnership with   ++to celebrate, f..."
oneplus 6 4k 60 fps test - after snow chicago - 11/26/2018:  via
rt construction_worker_medium_skin_tone:+get yours here -
"this statement too is monumental....+ socho zara+ you should also look at this, specially for..."
"#gtutechupdate oneplus 6t is available with rs. 4,500 discount on amazon india, here's how to avail:"
"upcoming 5g mobiles: oneplus, lenovo, samsung &amp; other launches to look out for  via"
thunder purple. subscribed to all your channels
i liked a  video  oneplus 6t real review - the truth 3 weeks later!
"this is really not fair,,  i have bought oneplus 6t on november 1st itself  ,,, didn't even done 20 days also witho..."
does it break if you fold it at the very end?
"the design of our fast charge cable has been tested over 20,000 times to ensure durability and fast charging speeds. now that'..."
rt down_arrowmobile_phoneclapping_handsparty_popperdollar_banknote: #oneplus6t+#oneplus ++
awesome phone
